#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 2.738789e-01  4.866748e-01  2.127959e-01  2.049008e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.049008e-01
 1.930376e-01 -1.085697e-01 -3.016073e-01  2.049008e-01
 6.945055e-01  1.283782e-01 -5.661273e-01  2.049008e-01
 1.197688e+00  4.495779e-01 -7.481106e-01  2.029464e-01
 1.379845e+00  5.933240e-01 -7.865214e-01  1.981118e-01
 1.105261e+00  4.329385e-01 -6.723225e-01  2.043371e-01
 5.524422e-01  8.971468e-02 -4.627276e-01  2.049008e-01
 9.857682e-02 -1.247208e-01 -2.232976e-01  2.049008e-01
 2.453368e-02  4.299651e-02  1.846284e-02  2.049008e-01
 3.813429e-01  5.425854e-01  1.612425e-01  2.049008e-01
 1.066767e+00  1.113084e+00  4.631719e-02  2.046731e-01
 3.811431e-01  5.441639e-01  1.630209e-01  2.049008e-01
 2.465027e-02  4.763981e-02  2.298953e-02  2.049008e-01
 9.847771e-02 -1.358773e-01 -2.343550e-01  2.049008e-01
 5.524651e-01  8.013368e-02 -4.723314e-01  2.049008e-01
 1.105240e+00  4.264014e-01 -6.788385e-01  2.043373e-01
 1.380148e+00  5.932539e-01 -7.868946e-01  1.981018e-01
 1.197593e+00  4.514778e-01 -7.461148e-01  2.029482e-01
 6.945373e-01  1.242595e-01 -5.702779e-01  2.049008e-01
 1.930946e-01 -1.124865e-01 -3.055811e-01  2.049008e-01
 1.249999e-04 -1.213044e-02 -1.225544e-02  2.049008e-01
 2.745867e-01  4.821362e-01  2.075496e-01  2.049008e-01
 9.843895e-01  1.117928e+00  1.335382e-01  2.049008e-01
