#    QMEnergy      MMEnergy  Delta(MM-QM)        Weight
 5.210998e+00  1.981144e+00 -3.229854e+00  1.256423e-01
 5.032699e+00  3.284616e+00 -1.748083e+00  1.282354e-01
 4.484341e+00  4.699572e+00  2.152312e-01  1.372875e-01
 3.447222e+00  5.364452e+00  1.917230e+00  1.607618e-01
 2.084373e+00  4.755199e+00  2.670826e+00  2.152172e-01
 7.998389e-01  3.073563e+00  2.273724e+00  2.613876e-01
 1.940412e-02  1.229249e+00  1.209845e+00  2.613876e-01
 2.921057e-05 -2.174070e-02 -2.176991e-02  2.613876e-01
 7.285977e-01 -1.633025e-01 -8.919002e-01  2.613876e-01
 1.889364e+00  6.747241e-01 -1.214640e+00  2.259503e-01
 2.942955e+00  1.816101e+00 -1.126854e+00  1.768235e-01
 3.366410e+00  2.362582e+00 -1.003828e+00  1.630800e-01
 2.942955e+00  1.816171e+00 -1.126784e+00  1.768235e-01
 1.889362e+00  6.739691e-01 -1.215393e+00  2.259504e-01
 7.285884e-01 -1.341161e-01 -8.627046e-01  2.613876e-01
 0.000000e+00  0.000000e+00  0.000000e+00  2.613876e-01
 1.940469e-02  1.229431e+00  1.210027e+00  2.613876e-01
 7.998387e-01  3.073789e+00  2.273950e+00  2.613876e-01
 2.084374e+00  4.755403e+00  2.671029e+00  2.152171e-01
 3.447223e+00  5.364492e+00  1.917269e+00  1.607617e-01
 4.484344e+00  4.699026e+00  2.146820e-01  1.372874e-01
 5.032698e+00  3.284531e+00 -1.748167e+00  1.282354e-01
 5.210998e+00  1.981043e+00 -3.229955e+00  1.256423e-01
 5.236732e+00  1.467118e+00 -3.769614e+00  1.252804e-01
